DAVIS,115,Double in Triple,165
DAVIS,116A,"Triple, 2 Room",168
DAVIS,121,Single in a Triple,223
DAVIS,122,Double in Triple,170
DAVIS,204A,Single in a Quint,382
DAVIS,204B,Double in a Quint,101
DAVIS,204C,Double in a Quint,158
DAVIS,206,Double in Quad,211
DAVIS,207,Double in Quad,226
DAVIS,208,Double,205
DAVIS,209,Double in Quad,239
DAVIS,210,Double in Quad,236
DAVIS,211,Double in a Quint,224
DAVIS,212,Triple in a Quint,191
DAVIS,214,Single in a Triple,315
DAVIS,215,Double in Triple,173
DAVIS,216A,"Triple, 2 Room",164
DAVIS,221,Single in a Triple,181
DAVIS,222,Double in Triple,139
DAVIS,304A,Single in a Quint,339
DAVIS,304B,Double in a Quint,103
DAVIS,304C,Double in a Quint,158
DAVIS,306,Double in Quad,211
DAVIS,307,Double in Quad,225
DAVIS,308,Double,197
DAVIS,309,Double,243
DAVIS,312,Double,187
DAVIS,314A,Single in a Quint,184
DAVIS,314B,Double in a Quint,161
DAVIS,314C,Double in a Quint,220
DAVIS,319,Single in a Triple,186
DAVIS,320,Double in Triple,142
DAVIS,404A,Single in a Quint,363
DAVIS,404B,Double in a Quint,103
DAVIS,404C,Double in a Quint,158
DAVIS,406,Double,211
DAVIS,407,Double in Quad,251
DAVIS,408,Double in Quad,222
DAVIS,409,Double,235
DAVIS,412,Double,228
DAVIS,413,Single in a Triple,309
DAVIS,414,Double in Triple,210
EVANS,5,Quad,326
EVANS,6,Single,362
EVANS,7,Double,121
EVANS,8,Double,219
EVANS,10,Quad in a Sextet,183
EVANS,11,Double in a Sextet,507
EVANS,17,Quad,307
EVANS,18,Triple,396
EVANS,19,Triple,312
EVANS,21,Triple,300
EVANS,106,Triple,351
EVANS,107,Single,298
EVANS,108,Triple,116
EVANS,109,Triple,235
EVANS,111,Quad,279
EVANS,118,Double,409
EVANS,119,Triple,207
EVANS,120,Triple,258
EVANS,122,Triple,306
EVANS,200,"Triple, 2 Room",361
EVANS,203,Triple,224
EVANS,204,Triple,243
EVANS,205,Single,252
EVANS,207,Triple,150
EVANS,208,Double,367
EVANS,209,Double,201
EVANS,211,Quad,221
EVANS,212,Double,413
EVANS,213,Quad,200
EVANS,214,Quad,218
EVANS,216,Triple,215
EVANS,300,Triple,202
EVANS,303,Triple,209
EVANS,304,Triple,272
EVANS,305,Single,248
EVANS,307,Triple,151
EVANS,308,Double,327
EVANS,309,Double,208
EVANS,311,Quad,225
EVANS,312,Double,341
EVANS,313,Quad,202
EVANS,314,Quad,205
EVANS,316,"Triple, 2 Room",215
EVANS,400,Triple,216
EVANS,402,Double,303
EVANS,403,Triple,194
EVANS,405,Double,323
EVANS,406,"Double, Adj. Bath",283
EVANS,407,"Double, Adj. Bath",208
EVANS,411,Single,257
EVANS,412,Quad,147
EVANS,413,Triple,423
EVANS,415,Triple,297
GOODHUE,102,Double,264
GOODHUE,103,Double,221
GOODHUE,104,Double,223
GOODHUE,105,Double,224
GOODHUE,106,Double,215
GOODHUE,112,Double,219
GOODHUE,113,Double,225
GOODHUE,114,Double,223
GOODHUE,115,Double,222
GOODHUE,117,Double,219
GOODHUE,118,Double,220
GOODHUE,119,Double,223
GOODHUE,121,Double,212
GOODHUE,122,Double,216
GOODHUE,125,Single,215
GOODHUE,126,Double,215
GOODHUE,128,Double,215
GOODHUE,130,Double,214
GOODHUE,132,Double,213
GOODHUE,133,Double,213
GOODHUE,135,Single,213
GOODHUE,137,Double,213
GOODHUE,139,Double,214
GOODHUE,140,Double,214
GOODHUE,201,Double,214
GOODHUE,202,Single,223
GOODHUE,203,Double,172
GOODHUE,204,Single,209
GOODHUE,205,Double,169
GOODHUE,206,Double,222
GOODHUE,207,Double,223
GOODHUE,208,Single,223
GOODHUE,209,Double,172
GOODHUE,214,Double,192
GOODHUE,215,Double,222
GOODHUE,216,Double,223
GOODHUE,217,Single,224
GOODHUE,218,Double,168
GOODHUE,219,Single,209
GOODHUE,220,Double,171
GOODHUE,221,Double,222
GOODHUE,223,Double,214
GOODHUE,224,Double,214
GOODHUE,227,Double,214
GOODHUE,228,Double,214
GOODHUE,230,Double,214
GOODHUE,232,Double,214
GOODHUE,235,Double,214
GOODHUE,237,Double,214
GOODHUE,239,Double,214
GOODHUE,241,Double,214
GOODHUE,242,Double,214
GOODHUE,243,Double,214
GOODHUE,245,Double,213
GOODHUE,301,Double,214
GOODHUE,302,Single,224
GOODHUE,303,Double,161
GOODHUE,304,Single,212
GOODHUE,305,Double,172
GOODHUE,306,Double,215
GOODHUE,307,Double,222
GOODHUE,308,Single,221
GOODHUE,309,Double,171
GOODHUE,314,Double,209
GOODHUE,315,Double,224
GOODHUE,316,Double,223
GOODHUE,317,Single,210
GOODHUE,318,Double,165
GOODHUE,319,Single,210
GOODHUE,320,Double,171
GOODHUE,321,Double,224
GOODHUE,323,Double,214
GOODHUE,324,Double,215
GOODHUE,327,Double,214
GOODHUE,328,Double,213
GOODHUE,330,Double,214
GOODHUE,332,Double,214
GOODHUE,335,Double,215
GOODHUE,337,Double,213
GOODHUE,339,Double,214
GOODHUE,341,Double,214
GOODHUE,342,Double,214
GOODHUE,343,Double,214
GOODHUE,345,Double,214
GOODHUE,401,Double,214
GOODHUE,402,Single,221
GOODHUE,403,Double,168
GOODHUE,404,Single,208
GOODHUE,405,Double,170
GOODHUE,406,Double,222
GOODHUE,407,Double,220
GOODHUE,408,Single,222
GOODHUE,409,Double,163
GOODHUE,414,Double,207
GOODHUE,415,Double,222
GOODHUE,416,Double,220
GOODHUE,417,Single,223
GOODHUE,418,Double,168
GOODHUE,419,Single,213
GOODHUE,420,Double,172
GOODHUE,421,Double,222
GOODHUE,423,Double,214
GOODHUE,424,Double,213
GOODHUE,427,Double,213
GOODHUE,428,Double,214
GOODHUE,430,Double,213
GOODHUE,432,Double,214
GOODHUE,435,Double,214
GOODHUE,437,Double,214
GOODHUE,439,Double,213
GOODHUE,441,Double,214
GOODHUE,442,Double,213
GOODHUE,443,Double,213
GOODHUE,445,Double,214
JAMES,004A,Single in a Quint,214
JAMES,004B,Single in a Quint,125
JAMES,004C,Single in a Quint,142
JAMES,004D,Double in a Quint,104
JAMES,005A,Double in a Quint,223
JAMES,005B,Single in a Quint,223
JAMES,005C,Single in a Quint,104
JAMES,005D,Single in a Quint,142
JAMES,101A,Single in a Quad,126
JAMES,101B,Double in Quad,120
JAMES,101C,Single in a Quad,244
JAMES,102A,Single in a Quad,110
JAMES,102B,Double in Quad,120
JAMES,102C,Single in a Quad,244
